commit	val_bpb	status	description
mar31-diff-31	3.4740	broken	AdamW (no Muon) — can't train attention, Muon essential
mar31-diff-32	2.2709	better	3L×2 depth recurrence (5.2M), 300s — NEW 300s BEST, faster+fewer params
mar31-diff-33	2.3438	worse	3L×3 (9 eff layers), 300s — too slow
mar31-diff-34	2.2371	worse	3L×2 at 600s — unique layers (6L) better with more training (2.213)
mar31-diff-35	3.4740	broken	AdamW with frozen RoPE — still can't train attention without Muon
elbo-vt-300s	2.4170	worse	Variable-t [0.05-0.95] + ELBO weighting + t-conditioning, 300s
elbo-vt-600s	2.2900	worse	Variable-t [0.05-0.95] + ELBO weighting, 600s — context works but high-t drags ELBO
elbo-tight-600s	2.2801	better	Variable-t [0.05-0.75] + ELBO weighting, 600s — tighter range, new variable-t best
elbo-tight-1200s	2.1787	better	Variable-t [0.05-0.75] + ELBO weighting, 1200s, 11409 steps
swiglu-1200s	2.1775	better	SwiGLU activation (12.3M params), 1200s — marginal, not worth extra params
tight06-2400s	2.1430	better	Variable-t [0.1-0.6] + relu², 2400s, 20000 steps
tight06-3600s	2.0812	BEST	Variable-t [0.1-0.6] + relu², 3600s, 31493 steps — NEW ALL-TIME BEST
perlayer-t-120s	2.4842	worse	Per-layer t scale+shift conditioning, 120s — hurts convergence
stratified-t-120s	2.4668	test	Stratified t sampling (10 strata), 120s — much smoother loss/gnorm
stratified-t-3600s	2.0758	BEST	Stratified t sampling (10 strata), 3600s, 32296 steps — NEW ALL-TIME BEST
extend-t-005-120s	2.5052	worse	Extended t range [0.05-0.6] 11 strata, 120s — low-t ELBO weights too high, hurt training
ema-120s	2.8962	worse	EMA weights (decay=0.999) for eval, 120s — EMA lags behind rapidly improving weights at short training
qknorm-120s	2.4558	better	QK-norm (rms_norm on Q,K), 120s — smoother gnorm, new 120s best
qknorm-3600s	2.0570	BEST	QK-norm (rms_norm on Q,K), 3600s, 8634 steps (throttled!) — NEW ALL-TIME BEST despite 3.7x fewer steps
qknorm-3600s-full	1.9206	BEST	QK-norm full unthrottled 3600s, 30174 steps — BROKE 2.0 BARRIER, NEW ALL-TIME BEST
learn-attn-temp-120s	2.4765	worse	Learnable per-head attn log-scale, 120s — hurt across all t values, reverted
8L-384d-120s	2.5121	worse	8 layers (12.6M), 120s — slower steps, fewer updates, depth doesn't help at short budget
mlp4x-120s	2.4824	worse	MLP 4x (11.4M), 120s — extra width doesn't compensate for fewer steps
no-softcap-120s	2.4549	same	Remove logit softcap, 120s — tied with baseline but per-t CEs worse, risky for long runs
higher-lr-120s	2.5023	worse	Muon LR 0.02→0.03, 120s — too aggressive even with QK-norm
narrow-t-05-3600s	1.9168	BEST	t range [0.1-0.5] 8 strata, 3600s, 35018 steps — focuses training on productive regime, NEW ALL-TIME BEST
narrow-t-04-3600s	1.9524	worse	t range [0.1-0.4] 6 strata, 3600s — too narrow, model over-specializes, t=0.05 CE regressed
weight-decay-3600s	1.9489	worse	Weight decay 0.01 on matrix params, 3600s — regularization fights useful learning
gelu-3600s	1.9067	BEST	GeLU activation (was relu²), 3600s, 33752 steps — smoother gradients, lower loss plateau, NEW ALL-TIME BEST
gelu-21600s	1.8901	BEST	6-hour run, hit MAX_ITERATIONS=120K at 12770s — left half the budget unused, NEW ALL-TIME BEST
gelu-21600s-full	1.8013	BEST	Full 6-hour run with proper warmdown, 200969 steps — t=0.20 CE=1.07 beats AR baseline, NEW ALL-TIME BEST
gelu-43200s	1.7644	BEST	12-hour run with checkpoint restart, 402063 steps — t=0.20 CE=0.91, NEW ALL-TIME BEST
hadamard-qknorm-3600s	1.9409	worse	Hadamard rotation before QK-norm, 3600s, 25888 steps — 23% slower per step, outlier flattening doesn't help
cosine-s003-3600s	1.9038	same	Cosine schedule s=0.03 (was 0.008), 3600s — marginal, within noise, smooth loss slightly worse
gelu-43200s-v2	1.7599	BEST	12-hour run v2, 400530 steps, smooth loss 8.28 — still dropping, NEW ALL-TIME BEST
gelu-43200s-v3	1.7632	same	12-hour run v3, 402611 steps, smooth loss 8.73 — checkpoint saved for continuation
gelu-86400s	1.7344	BEST	24-hour run (resumed from 400K), 809273 steps — t=0.30 CE=1.09 beats AR baseline, NEW ALL-TIME BEST
freq-mask-3600s	2.1341	worse	Frequency-informed masking (sqrt(1/freq) weights), 3600s — train/eval mismatch, hurt all t levels
curriculum-70-30	aborted	worse	Two-stage curriculum (fixed 50% → variable-t at 70%) — loss spiked 3→12 at switch, model never learned low-t
cosine-lr-3600s	1.9052	same	Cosine LR decay (was flat+warmdown), 3600s — within noise of baseline (1.9067)
6L-512d-3600s	1.9130	worse	6L/512d 8 heads (16.8M), 3600s, 22484 steps — 35% fewer steps, capacity doesn't compensate
beta-t-clamp10-3600s	1.9429	worse	Beta(2,5) t-sampling [0.02-0.80] + ELBO weight clamp 10, 3600s — 15% of steps wasted outside productive range
bert-mask-3600s	1.9413	worse	BERT-style masking (80/10/10), 3600s — train/eval corruption mismatch, t=0.1 CE regressed badly
6L-512d-21600s	1.7813	BEST	6L/512d 8 heads (16.8M), 6h, 136352 steps — capacity wins at longer budget, beats 384d 6h (1.80), NEW ALL-TIME 6h BEST
8xH100-ddp-600s	1.7434	BEST	6L/512d 8 heads (16.8M), 8xH100 DDP 10min, 6905 steps, 262K tok/step — new all-time best, beats MLX 24h (1.7344)
8xH100-768d-600s	1.7032	BEST	6L/768d 12 heads (37M), 8xH100 DDP 10min, 4963 steps — capacity wins again, new all-time best
8xH100-768d-seq1024-600s	1.7182	worse	6L/768d seq1024, 8xH100 10min, 3945 steps — 20% fewer steps from quadratic attn, low-t CE regressed badly
8xH100-768d-t01-04-600s	1.7071	worse	6L/768d t-range [0.1-0.4], 8xH100 10min, 3912 steps — t=0.05 improved but mid-t regressed, within noise of baseline
8xH100-768d-65K-600s	1.6999	BEST	6L/768d 65K tok/gpu (524K eff batch), 8xH100 10min, 2807 steps — bigger batch wins, first sub-1.70
8xH100-768d-131K-600s	1.7181	worse	6L/768d 131K tok/gpu (1M eff batch), 8xH100 10min, 1501 steps — too few steps, batch too large for budget
8xH100-1024d-65K-600s	1.7034	same	6L/1024d 16 heads (65M), 65K/gpu, 8xH100 10min, 2071 steps — lower loss/step but too few steps, matches 768d
8xH100-8L768d-65K-600s	1.7071	worse	8L/768d 12 heads (48.8M), 65K/gpu, 8xH100 10min, 2092 steps — depth too expensive, not enough steps
8xH100-768d-accum2-600s	1.7070	same	6L/768d grad_accum=2 (524K eff), 8xH100 10min, 2740 steps — smooth loss 3.56 (much lower!) but BPB similar, needs more steps
8xH100-768d-2xLR-600s	1.7598	worse	6L/768d 2x LR (0.04/0.04/0.06), 65K/gpu, 8xH100 10min — too aggressive, destabilized
8xH100-768d-1.5xLR-600s	1.7321	worse	6L/768d 1.5x LR (0.03/0.03/0.045), 65K/gpu, 8xH100 10min — still too aggressive
8xH100-768d-muon3-600s	1.6989	BEST	6L/768d Muon 3 NS iters (was 5), 65K/gpu, 8xH100 10min, 2874 steps — new best, sub-1.70!
8xH100-768d-muon2-wu15-600s	1.7156	worse	6L/768d Muon 2 NS iters + warmup 15, 65K/gpu, 8xH100 10min — 2 iters not enough convergence
8xH100-768d-guidance-600s	1.7744	worse	6L/768d cross-t self-guidance (λ=0.5, t_ratio=0.3), 65K/gpu, 8xH100 10min, 2157 steps — teacher fwd too expensive, -700 steps
8xH100-768d-labelsmooth-600s	aborted	worse	6L/768d label_smoothing=0.1 — loss 15-16 at 50%, smoothing + ELBO weighting catastrophic
8xH100-768d-wd10-600s	1.7063	worse	6L/768d warmdown 10% (was 15%), 65K/gpu, 8xH100 10min — less warmdown slightly worse
8xH100-7L768d-65K-600s	1.7067	worse	7L/768d (42.9M), 65K/gpu, 8xH100 10min, 2483 steps — extra layer too expensive for budget
2x5080-768d-sp1024-12h	1.6169	BEST	6L/768d SP1024, 2x5080 DDP 12h, 159K steps — new best, first 5080 result
2x5080-768d-sp1024-24h	1.6007	BEST	6L/768d SP1024, 2x5080 DDP 24h, 318K steps — sub-1.60, continued from 12h checkpoint
2x5080-768d-sp4096-60s	2.2753	test	6L/768d SP4096 (41.7M), 2x5080 60s, 219 steps — SP4096 baseline
2x5080-768d-sp4096-2h	1.5348	BEST	6L/768d SP4096 (41.7M), 2x5080 2h, 25516 steps — bigger vocab huge win, beats SP1024 24h in 2h
2x5080-768d-sp8192-6h	1.4472	BEST	6L/768d SP8192 (48.0M), 2x5080 6h, 106K steps, 16K tok/gpu — NEW ALL-TIME BEST, t=0.10 CE=1.01 below AR baseline
h100proxy-sp8192-8400s	1.5590	proxy	6L/768d SP8192 (48M), 2xRTX5080 H100-proxy (524K eff batch = 16K/gpu × 2 × accum16), 8400s, 3057 steps, 191K tok/s — predicts ~1.56 BPB for 10-min 8xH100 of same recipe, 0.14 below current H100 best (SP1024 1.70)
h100proxy-alpha-uniform-8400s	1.5556	proxy	6L/768d SP8192, alpha-uniform stratified t-sampling (T_MAX 0.5→0.6, loss /mask_prob), 8400s, 3058 steps — 0.003 BPB improvement over uniform-t (within noise). Low-t CE regressed significantly (t=0.05: 1.08→1.75, t=0.1: 1.46→1.86), mid-t improved slightly (t=0.3: 2.37→2.28), high-t unchanged. Variance-optimal sampler but low-t was already cheap to serve, so reallocation net break-even.
h100proxy-mlp4x-8400s	1.5835	worse	6L/768d SP8192 alpha-uniform, MLP 3x→4x (55M params), 8400s, 2935 steps — regressed 0.028 BPB. Low-t CE IMPROVED (t=0.05: 1.75→1.62, t=0.1: 1.86→1.66) but mid-t where BPB weight is highest got WORSE (t=0.3: 2.28→2.46). Extra FFN capacity absorbed by pattern-matching at easy noise levels; not enough steps to train wider net into its useful regime. Reverted.
h100proxy-partial-sc-8400s	1.5848	worse	6L/768d SP8192 alpha-uniform, partial self-conditioning (1/3 steps do detached teacher fwd, sc_emb = softmax(logits_pass1) @ embed.weight[:V] added to input emb at all positions with fixed gate=1.0, always-2-pass at eval), 8400s, 2719 steps (-11% from sc cost as predicted). +0.029 BPB regression. Per-t: sc HELPS high-t (t=0.9 7.15→7.07, t=0.7 ≈equal) and HURTS low-t (t=0.05 1.08→1.76, t=0.1 1.46→1.70) — the sketch hypothesis that sc_emb at unmasked positions would be "redundant but harmless" is wrong. At low-t unmasked positions the predicted emb is ≈ true emb but not exactly, and adding it actively pollutes the signal. ELBO weight (1/mask_prob) dominant at low-t so regression wins. Reverted. v2 candidate: mask-gated sc (sc_emb * mask.unsqueeze(-1)) would fix the unmask pollution.
h100proxy-muonplus-col_row-8400s	1.6578	worse	6L/768d SP8192 alpha-uniform, Muon+ col_row post-polar normalization (arXiv 2602.21545, divide each col by L2 norm, then each row by L2 norm, after NS5). 8400s, 3050 steps (overhead negligible as predicted). +0.102 BPB regression. final_smooth_loss 0.47 vs baseline 0.74 — model fit training data much harder but generalization collapsed. Per-t: uniformly worse at low-mid t (t0.05 1.08→1.82, t0.3 2.37→2.66), ≈equal at high-t. Diagnosis: col_row makes u Frobenius = sqrt(fan_out) regardless of shape. Compounded with our rms_scaling sqrt(max(1, fan_out/fan_in)), tall matrices get over-scaled updates: fc (2304×768) ~1.73x, out_head (8192×768) ~3.27x. Paper avoids this by EXCLUDING lm_head from Muon (see exclusion list in MuonPlus.__init__). Our SplitOptimizer puts out_head.weight in matrix_params → huge over-scaled update per step → memorization. Reverted. Possible fixes before shelving: (1) try row_col instead (fat matrices over-scaled by sqrt(3) on proj only, out_head OK), (2) exclude out_head from Muon and put in Adam (matches paper recipe), (3) keep rms_scaling off when Muon+ active.
h100proxy-out_head-to-adam-8400s	1.6067	worse	6L/768d SP8192 alpha-uniform, route out_head.weight from Muon→Adam (EMBED_LR 0.03), matching MuonPlus paper's lm_head exclusion. Optimizer buckets: Muon 37→36, Embed 2→3. 8400s, 3055 steps, final_smooth_loss 0.46. +0.0511 BPB regression. Per-t bimodal: t=0.05 dropped dramatically (1.7→0.92) but at mask_prob ~0.008 only ~4 masked tokens/seq — small-sample variance explains most/all of it. t=0.1 REGRESSED (~1.55→2.05) and t=0.2-0.3 slightly worse; t≥0.5 unchanged. Diagnosis: moving out_head to Adam also removed the rms_scaling sqrt(max(1,fan_out/fan_in))=3.27x LR multiplier it was getting under vanilla Muon. Adam@0.03 delivers per-element updates but total update magnitude on the 8192×768 matrix is much smaller than Muon+rms_scaling was producing. At this compute budget the vocab projection needs the larger updates. Kills the "unlock clean Muon+ retry" story: there is no clean out_head configuration that lets col_row help elsewhere without either over-scaling out_head (original Muon+ failure) or under-training it (this run). Reverted. Muon+ to parking lot.
h100proxy-sp16384-8400s	1.5098	best-proxy	6L/768d SP16384 (60.6M params: embed 12.58M + out_head 12.58M + bias 16K + stack 35.5M) alpha-uniform, vanilla Muon, no sc, 8400s on 2xRTX5080 (524K eff batch), 2791 steps (-9% vs baseline due to larger embed/out_head per-step cost). final_smooth_loss 0.486 (vs 0.47 baseline, expected higher for 16384-way classification). -0.0458 BPB over prior best 1.5556. Per-token CE uniformly higher at every measured t (t=0.05 1.08→1.46, t=0.3 2.28→2.65, t=0.7 5.70→5.89) but bytes-per-token increased more, net BPB win. Bits-saved check: t=0.05 went 9.01-1.08=7.93 (SP8192) to 9.70-1.46=8.24 (SP16384), so absolute information extracted per token went UP. Continuation of the clean SP1024→SP4096→SP8192→SP16384 curve. Artifact-fit caveat: model is now 60.6M params (vs 48M) — submission packer (external to repo) needs to get ~4x compression on an int8-quantized weights table; achievable with zstd but unverified end-to-end.
h100proxy-sp16384-sc-v2-mask-gated-8400s	1.5051	best-proxy	6L/768d SP16384 (60.6M) alpha-uniform + mask-gated partial sc v2 (1/3 steps run detached teacher fwd, sc_emb = chunked bf16 softmax(logits) @ embed.weight[:V], added to input emb at masked positions ONLY via mask gate), 8400s 2xRTX5080, 2494 steps (-11% from sc cost, matches sc v1 overhead). -0.0047 BPB over no-sc SP16384 baseline 1.5098 — small but real improvement, compounds sc v2 with SP16384. Per-t (vs no-sc baseline): t=0.1 2.31→2.01 (-0.30), t=0.2 2.32→2.14 (-0.18), t=0.5 4.31→4.22 (-0.09), t=0.3 2.65→2.84 (+0.19), t=0.05 1.46→2.19 (noisy, few masked tokens). Gating by mask killed v1's low-t pollution failure mode as hypothesized — v1 regressed 0.029 BPB because adding sc_emb to already-perfect unmasked embeds corrupted the signal; v2 only perturbs masked positions, where sc_emb is a reasonable prior. Keep.
h100proxy-sp8192-sc-v2-nmuon-8400s	1.5674	proxy	6L/768d SP8192 (48M) alpha-uniform + sc v2 + Newton-Muon (arXiv 2604.01472; right-precondition Muon grad by K⁻¹ where K=EMA(ZᵀZ/N), β=0.9, γ=0.2, refresh k=16 steps, block-diag on fc_down, K_init=1e-3·I). 8400s 2xRTX5080, 2542 steps (~8% slower than NMUON=0 due to per-microbatch XᵀX hook fp32 matmuls). Per-t: t0.1=2.14 | t0.2=1.94 | t0.3=2.62 | t0.5=3.90 | t0.7=5.70 | t0.9=7.05 | final_smooth_loss 0.4832. Compare vs NMUON=0 sibling below: Newton-Muon wins -0.012 BPB at SP8192+sc v2 despite 200 fewer steps. Compare vs no-sc SP8192 baseline 1.5556: +0.012 regression, but that delta is entirely explained by sc v2 hurting at SP8192 (see sibling row). Impl notes: pre-hooks register on Muon-routed Linears only, guarded by torch.is_grad_enabled() to skip sc teacher fwd and eval; batch_ztz buffers pre-allocated in __init__ and in-place accumulated to prevent allocator fragmentation (OOM'd twice before this fix). Keep — test next at SP16384+sc v2 to see if it compounds with our best recipe.
h100proxy-sp8192-sc-v2-8400s	1.5789	proxy	6L/768d SP8192 (48M) alpha-uniform + sc v2 (mask-gated partial), vanilla Muon, NMUON=0. 8400s 2xRTX5080, 2736 steps. Per-t: t0.05=2.85 | t0.1=1.37 | t0.2=2.03 | t0.3=2.60 | t0.5=4.01 | t0.7=5.71 | t0.9=7.07 | final_smooth_loss 0.4636 (low-t very noisy; mid-t is the driver). Surprise finding: sc v2 REGRESSED +0.023 BPB vs no-sc SP8192 baseline (1.5556 row 103), opposite to what it did at SP16384 where it won -0.005. Hypothesis: sc_emb = softmax(logits) @ embed.weight[:V] gets more useful prior-mixing signal when embed is 16k×768 than 8k×768. sc v2 is vocab-dependent — keep it ONLY for SP16384 and above, not SP8192. This run also serves as the clean baseline vs Newton-Muon (sibling row above).
h100proxy-sp16384-sc-v2-nmuon-8400s	1.5065	worse	6L/768d SP16384 (60.6M) alpha-uniform + sc v2 + Newton-Muon (arXiv 2604.01472; K=EMA(ZᵀZ/N), β=0.9, γ=0.2, refresh k=16, block-diag on fc_down, K_init=1e-3·I). 8400s 2xRTX5080, 2331 steps (-7% vs NMUON=0 sibling at 2494 steps due to forward pre-hook fp32 matmul overhead on 37 Muon-routed Linears). Per-t: t0.05=1.77 | t0.1=1.75 | t0.2=2.31 | t0.3=2.89 | t0.5=4.22 | t0.7=5.99 | t0.9=7.27 | final_smooth_loss 0.4884. +0.0014 BPB vs SP16384+sc v2 no-NMuon (1.5051 row 109) — within run-to-run noise band. Mid-t (t=0.2 through 0.7) essentially unchanged; low-t swung 1.5-2.5 CE but only ~5 masked tokens/seq at those levels so dominated by small-sample variance. At SP8192 NMuon looked like a -0.012 win (vs NMUON=0 sibling) but that was within the same noise band once compounded with sc v2's vocab dependence. Net verdict: Newton-Muon is ≈neutral at our best recipe AND costs 7% throughput. Drop and move to parking lot. Code retained with NMUON=0 default so it's easy to revisit if another change makes it worthwhile (e.g., longer runs where the EMA warmup is cheaper to amortize).
h100proxy-sp16384-sc-v2-sdpa-seq1024-8400s	1.4730	best-proxy	6L/768d SP16384 (60.6M) alpha-uniform + sc v2 + SDPA attention + seq_len 512→1024. 8400s 2xRTX5080, 3364 steps — 35% MORE steps than seq=512 baseline at 2494 steps, despite seq=1024 being 4x the attention compute. SDPA (F.scaled_dot_product_attention) replaced manual `attn=(q@kᵀ)*scale; softmax; @v` path — the manual path was bandwidth-bound writing out the (B,H,T,T) score matrix, SDPA fuses into the memory-efficient kernel which is compute-bound on RTX 5080. First attempt at seq=1024 with manual attention OOM'd (9.6 GB attention activations across 6 layers at B=16 T=1024 H=12). Per-t: t0.05=1.99 | t0.1=2.09 | t0.2=2.21 | t0.3=2.68 | t0.5=4.11 | t0.7=6.01 | t0.9=7.34 | final_smooth_loss 0.4719. -0.0321 BPB vs prior best 1.5051 (row 109). Mid-t (t=0.3-0.5 where BPB weight is highest) uniformly improved: t=0.3 2.84→2.68, t=0.5 4.22→4.11. High-t and low-t essentially unchanged (within noise). CONFOUND: two changes bundled in this run — SDPA swap AND seq_len doubling. Numerically SDPA should be bit-close to the manual path (same math, same fp32 softmax accumulator under the hood), but the 35% step count increase suggests SDPA alone is already a big throughput win at seq=512. Need follow-up: seq=512 with SDPA to isolate how much of the -0.032 win is from extra context vs extra steps. Keep both changes regardless; this is the new leader.
h100proxy-sp16384-sc-v2-sdpa-seq512-8400s	1.4731	best-proxy	6L/768d SP16384 (60.6M) alpha-uniform + sc v2 + SDPA + seq_len 512 (attribution run for prior row). 8400s 2xRTX5080, 3483 steps (3.4% more than seq=1024's 3364 — attention no longer bottleneck after SDPA so seq_len barely affects throughput). Per-t: t0.05=2.69 | t0.1=2.44 | t0.2=2.16 | t0.3=2.59 | t0.5=4.13 | t0.7=5.88 | t0.9=7.30 | final_smooth_loss 0.4726. ATTRIBUTION FINDING: seq=512 and seq=1024 are within 0.0001 BPB of each other — the entire 0.0321 BPB win vs prior 1.5051 baseline is from the SDPA attention swap alone. Seq_len 512→1024 does nothing for BPB at 8400s/524K-eff-batch. Mid-t slightly favors seq=512 (t=0.2 2.21→2.16, t=0.3 2.68→2.59, t=0.7 6.01→5.88), low-t favors seq=1024 but noisy. Keep seq=512 — frees VRAM for SP32768 and future wide-MLP/deeper tests. Seq_len move to rejected list. SDPA is pure upside and should have been in from day 1.
h100proxy-sp32768-sc-v2-sdpa-8400s	1.4913	worse	6L/768d SP32768 (85.8M: embed 25.2M + out_head 25.2M + stack 35.4M) alpha-uniform + sc v2 + SDPA. 8400s 2xRTX5080, 3051 steps (-12% vs SP16384 at 3483 due to embed/out_head bandwidth). Required BATCH_TOKENS=8192/gpu + GRAD_ACCUM=32 to fit VRAM (default 16384/16 OOM'd on cross-entropy's 2GB (B*T, V) logits tensor at V=32769). Per-t: t0.05=1.75 | t0.1=2.50 | t0.2=2.46 | t0.3=3.00 | t0.5=4.29 | t0.7=5.94 | t0.9=7.30 | final_smooth_loss 0.2454 (much lower than SP16384's 0.47 but not comparable — fewer bits/byte per token at bigger vocab). +0.0182 BPB vs SP16384 best 1.4731. Mid-t (where BPB weight is highest) uniformly regressed: t=0.2 2.16→2.46 (+0.30), t=0.3 2.59→3.00 (+0.41), t=0.5 4.13→4.29 (+0.16). Low/high-t basically unchanged. The SP vocab curve (SP1024→4096→8192→16384) saturated at 16384. At 10-min compute budget, SP32768's extra 25M params are under-trained — bigger vocab needs more steps to amortize, and we don't have them. Bonus penalty: artifact cap compression ratio goes from 3.8x (SP16384) to 5.3x (SP32768), tighter margin for no BPB gain. Reject. SP16384 is the keeper. Reconsider only if training budget gets substantially longer (6h+) or if a different change (deeper/wider model) alters the capacity-vs-steps trade.
h100proxy-sp16384-sc-v2-sdpa-mlp4x-8400s	1.4787	worse	6L/768d SP16384 MLP 3x→4x (67.7M: +7.1M FFN params) + sc v2 + SDPA + seq=512. 8400s 2xRTX5080, 3310 steps (-5% vs MLP 3x at 3483 from wider FFN bandwidth). Per-t: t0.05=1.88 | t0.1=2.13 | t0.2=2.39 | t0.3=2.57 | t0.5=4.03 | t0.7=5.89 | t0.9=7.27 | final_smooth_loss 0.4737 (matches MLP 3x at 0.4726 — same training-loss fit but val generalization slightly worse). +0.0056 BPB vs MLP 3x baseline 1.4731. Mid-t weakness unchanged (t=0.3 2.59→2.57 flat, the hypothesized capacity unlock didn't materialize). t=0.2 regressed (+0.23) while t=0.5 improved (-0.10). Retry of 4x MLP rejection from the SP8192 pre-SDPA era (which had regressed 0.028 BPB); SDPA throughput recovery narrowed the regression but didn't flip it. The capacity-vs-step tradeoff at 10-min budget still favors 3x. Revert. Move 4x MLP deeper into rejected list (now tested twice at different configs).
h100proxy-sp16384-sc-v2-sdpa-mlp4x-dupe-8400s	1.4780	noise	Accidental re-run of MLP 4x config (hightower hadn't synced the revert). 67.7M params, 3309 steps. Per-t: t0.05=2.31 | t0.1=2.02 | t0.2=2.34 | t0.3=2.66 | t0.5=4.06 | t0.7=5.93 | t0.9=7.18 | final_smooth_loss 0.4751. +0.0049 BPB vs MLP 3x baseline. Two MLP 4x runs within 0.0007 BPB of each other (1.4787 and 1.4780). RUN-TO-RUN NOISE CALIBRATION: variance band at 8400s/524K-eff-batch is very tight, ~±0.001 BPB. Previously "within noise" calls (Newton-Muon +0.001 at SP16384, seq=512 vs seq=1024 at 0.0001) confirmed as genuinely neutral.
h100proxy-sp16384-sc-v2-sdpa-8L-8400s	1.4878	worse	8L/768d SP16384 (72.4M: +11.8M stack params from 6L→8L) + sc v2 + SDPA + seq=512 + MLP 3x. 8400s 2xRTX5080, 2805 steps (-19% vs 6L at 3483 due to sequential depth cost). Per-t: t0.05=2.43 | t0.1=1.86 | t0.2=2.36 | t0.3=2.60 | t0.5=4.12 | t0.7=5.88 | t0.9=7.22 | final_smooth_loss 0.4780 (WORSE than 6L's 0.4726 — under-trained deeper stack). +0.0147 BPB vs 6L baseline 1.4731. Same per-t pattern as MLP 4x: low-t improved (t=0.1 2.44→1.86), mid-t unchanged (t=0.3 2.59→2.60), high-t unchanged. FINDING: at 10-min budget we are STEP-STARVED, not capacity-starved. Three capacity experiments (MLP 4x x2, 8L x1) all regressed linearly with step count drop regardless of whether capacity went to width or depth. Extra params can't amortize in 10 minutes. Next levers must be per-step-value improvements (per-t loss targeting, Gauss-Legendre ELBO, LR tuning) rather than more params. Revert to 6L.
