commit	val_bpb	artifact_mb	status	description
env_only	2.131100	12.6	keep	MAX_WALLCLOCK_SECONDS=180 (299 steps, big improvement)
env_only	2.150400	13.8	discard	10L + 180s (still worse than 9L despite more steps)
env_only	2.198000	12.1	discard	WEIGHT_DECAY=0 (same as 0.01 within noise)
env_only	2.218600	12.3	discard	NUM_HEADS=16 (head_dim=32 too small)
39791d6	2.211200	11.9	discard	GELU activation (worse than LeakyReLU^2)
env_only	2.229400	14.2	discard	MODEL_DIM=576 (160 steps, step-count limited)
c22fd27	2.196300	11.9	keep	Final verification (reproducible)
env_only	2.189000	12.0	keep	7L + 3x MLP (~213 steps, new best!)
env_only	2.246600	10.7	discard	5L + 4x MLP (~255 steps, too shallow)
env_only	2.237100	10.6	discard	6L + 3x MLP (~248 steps, too shallow)
env_only	2.195900	13.3	discard	8L + 3x MLP (190 steps, slightly worse than 7L)
env_only	2.198700	10.8	discard	8L + 2x MLP (218 steps, 7L/3x still better)
env_only	2.209400	12.4	discard	7L/3x + MATRIX_LR=0.10 (too high)
env_only	2.220100	12.3	discard	7L/3x + WARMDOWN=100 (150 still better)
env_only	2.177300	11.7	keep	7L/3x + WARMDOWN=200 (new best!)
env_only	2.163200	11.2	keep	7L/3x + WARMDOWN=250 (new best!)
env_only	2.153300	10.6	keep	7L/3x + WARMDOWN=350 (new best!)
env_only	2.149300	9.9	keep	7L/3x + WARMDOWN=500 (new best!)
env_only	2.156000	9.2	discard	7L/3x + WARMDOWN=700 (too much warmdown)
env_only	2.158800	9.2	discard	7L/3x + MATRIX_LR=0.06 (worse than 0.08)
env_only	2.149700	9.9	discard	7L/3x + GRAD_CLIP=0.1 (same as 0.3)
env_only	2.164000	9.9	discard	relu^2 (LeakyReLU still better for 7L/3x)
env_only	2.150600	10.0	discard	7L/3x + WD=0 (same as 0.01 within noise)
env_only	2.159800	10.6	discard	NUM_KV_HEADS=8 (no GQA, worse)
env_only	2.207100	8.0	discard	9L/384d/3x (too narrow, 268 steps)
env_only	2.157400	9.8	discard	LeakyReLU(0.3)^2 (0.5 still better)
env_only	2.147800	9.9	keep	ROPE_BASE=75 (marginal new best)
env_only	2.146600	9.9	keep	LOGIT_SOFTCAP=18 (marginal new best)
env_only	2.145900	9.8	keep	CONTROL_TENSOR_NAME_PATTERNS='' (Muon for all, marginal best)
env_only	2.159800	11.2	discard	7L/4x MLP (193 steps, worse than 3x)
49fe41d	2.217600	8.8	discard	Cosine warmdown (linear is better)
ee30d38	2.276100	9.1	discard	SWA 10 checkpoints (too much averaging)
env_only	2.147300	10.4	discard	NUM_KV_HEADS=2 (same as 4KV within noise)
env_only	2.156000	9.6	discard	WARMUP_STEPS=10 (fewer steps despite less warmup)
env_only	0.000000	0.0	discard	MLX_MAX_MICROBATCH_TOKENS=16384 (slower, killed)
env_only	0.000000	0.0	discard	MLX_MAX_MICROBATCH_TOKENS=4096 (much slower, killed)
env_only	0.000000	0.0	discard	MLX_EAGER_EVAL=0 (2x slower, killed)
env_only	3.086400	6.3	discard	WD=0 final (quantization destroys weights)
env_only	2.146800	9.8	discard	WD=0.02 (same as 0.01 within noise)
cd98474	2.131900	9.9	keep	Remove U-Net skips (new best! -0.015 BPB)
9bc7808	2.143100	9.9	discard	Remove resid_mix (worse, x0 gradient flow matters)
env_only	2.129600	9.9	keep	QK_GAIN_INIT=1.0 + no skip (new best!)
d2c0f5d	2.131600	9.9	discard	Remove attn/mlp scales (same as with scales)
env_only	2.134400	10.6	discard	2KV + no skip (4KV still better)
env_only	2.133800	10.4	discard	LR=0.10 + no skip (0.08 still optimal)
env_only	2.133800	9.5	discard	WARMDOWN=600 + no skip (500 still optimal)
96b7fdc	2.139400	10.3	discard	Random init proj (train better but quant worse)
env_only	2.130800	9.9	discard	TIED_EMBED_INIT_STD=0.002 (same as 0.005)
env_only	2.172300	11.1	discard	Muon 0.98 + warmup 100 steps (worse)
env_only	2.150300	9.6	discard	MUON_BACKEND_STEPS=4 (worse than 5)
env_only	2.132600	10.0	discard	TRAIN_SEQ_LEN=192 (256 still optimal)
env_only	2.137000	9.9	discard	TRAIN_SEQ_LEN=320 (256 still optimal)
ea4d640	2.132900	10.0	discard	Simple bigram bias (not enough steps to learn)
f188c4b	2.179900	12.4	discard	SiLU-gated MLP (177 steps, too many params)
env_only	2.129400	9.9	discard	INT8_CLIP_PERCENTILE=99.9 (same as default)
2661c03	2.167200	9.8	discard	Partial RoPE 16/64 (needs more training)
env_only	2.128000	9.9	keep	SEED=42 variance check (2.1280 vs 2.1296, ±0.002)
env_only	2.155600	8.9	discard	6L/3x no-skip (~245 steps, too shallow)
env_only	2.128000	9.9	discard	TIED_EMBED_INIT_STD=0.008 (within noise of 0.005)
3c773c4	2.123400	9.8	keep	XSA on last 3 layers (NEW BEST! -0.006 BPB)
env_only	2.132100	9.8	discard	XSA_LAYERS=7 (too many, last 3 is optimal)
env_only	2.122600	9.9	keep	XSA_LAYERS=4 (marginal improvement over 3)
env_only	2.123500	9.9	discard	XSA_LAYERS=5 (4 is optimal)
218e9ef	2.137500	10.0	discard	Ortho init (trains better but quantizes worse)
env_only	0.000000	0.0	discard	TRAIN_BATCH_TOKENS=4096 (slower + worse loss, killed)
env_only	2.626500	6.9	discard	XSA 0.5x strength (quantization catastrophe)
env_only	2.269000	9.5	discard	Verify (Mac sleep disrupted: only 124 steps vs ~213)
env_only	2.125200	9.9	keep	XSA_LAYERS=2 (similar to 4, within noise, more steps)
a28aacc	2.137900	9.8	discard	Depth recurrence layers 3-4 (slower steps, +0.015 worse)
004800b	2.192300	10.3	discard	Parallel residuals (MLP misses attn output, +0.070 worse)
d727c2a	2.122800	10.2	discard	EMA decay=0.95 (same as baseline within noise)
env_only	2.202100	9.5	discard	EMA decay=0.99 (worse, too much early-weight influence)
env_only	2.030600	11.2	keep	MAX_WALLCLOCK=240 ITER=500 (382 steps, NEW BEST! -0.092)
env_only	2.015600	11.9	keep	MAX_WALLCLOCK=300 ITER=1000 (481 steps, NEW BEST! -0.015)
env_only	1.983000	12.8	keep	MAX_WALLCLOCK=420 ITER=2000 (675 steps, NEW BEST! -0.033)
env_only	1.962000	13.5	keep	MAX_WALLCLOCK=600 ITER=5000 (959 steps, NEW BEST! -0.021)
env_only	0.000000	16.6	discard	9L 600s (750 steps, artifact 17.4MB OVER LIMIT, bpb 1.977 worse anyway)
eabe6b5	1.963300	13.5	discard	BigramHash(4096,128) 600s (943 steps, same as baseline within noise)
env_only	1.971400	15.1	discard	8L 600s (828 steps, slower per-step, worse than 7L)
